Kalenjin,Kiswahili
Kialji bik chechang kiyak kandoindet ab Uasin Gishu,Mbunge wa Uasin Gishu aliwanunulia ngombe wakaazi wengi
Amache Post rangers  ngamu inge kochesan ,Nawapenda post rangers kwa sababu wanajua kucheza
Makase ta kipa sang' ranim,Sikujiskii kwenda nje leo.
Kiptooa atindoi chorwet neu inye eng betusiek alak,Sijawahi kuwa na rafiki kama wewe hapo awali
Kinyor Tom negit kiy tugul nekikasom,Tom alipata karibu kila kitu alichoomba
Kokolany olyetab kumiat,Bei ya asali imepanda sana
Chile kit ni so koyatak mlagut nito ni,Bonyeza kifungo hiki na mlango utafunguliwa
Ikweny emet eng betut ab ra ko kami laitoriat,Kuangazia siku ya leo alipo rais wetu
langok ko kecheik cheilali kap chii,Watoto ni nyota zinazoangaza giza la familia.
Nyolu ialchi kadit ab kongoi nekato notok,Unapaswa kumnunulia kadi ya zawadi badala yake
Mianat chichi ne mo ki mwoey.,Mtu huyu ni mgonjwa kupindukia.
chomei kowisei sesenyo eng' kokwet,Mbwa wetu anapenda kukimbia uani.
Kitinye kitapusyek tisap chi tukul,Tuna madaftari saba kila mmoja
Mekat kosobei chii age tugul, Kila mtu anayo haki ya kuishi.
Akoy awekte bukuini ole komi.,Lazima nirudishe kitabu hiki nilikokitoa.
Imakat itelel eng kelyek kuk sikerete komnye,Utalazimika kusimama kwa vidole vyako ili kuona
Tagu kole memoche kebe tukul.,Inaonekana hutaki kuja nasi
"Koisup akoy kaa,tatyan kopar.",Alimfuata nyumbani; kisha kumuua
Kagogeer mamatab cherop dukenyi raini,Mama cherop amefungua duka lake leo
Makat awal teputyet notok eng kasarta ni?,Ninapaswa kujibu swali hilo sasa?
Amakat anai kole ngo nemakat akachi chuto chu,Nahitaji kujua ni nani ninayepaswa kumpa hii
Mwowo turin tukuk che kianetin kitoretin isiir,"Niambie bingwa wangu, mahadhi niliyokufunza yamekupa ushindi?  "
Miten pik che mache  mbaret karon ,Kuna watu wanataka shamba kesho 
Kwatuyen Cheptoo ak Chematian ye kingawendi gasi,Nilikutana na Cheptoo na Chematian nikienda kazini
Kiptooa apare chito anan aumisan chi ake tugul,Sijawahi kuua wala kumjeruhi mtu yeyote
bunu bechoto olin bo sergoit ,Maji hayo yanatoka huko sergoit 
kap chii ko ole mi chamiyet,Familia ni mahali pa kutoa na kupokea upendo.
Teben ngotko takomennye icheget olin po Kirobon.,Muulize kama bado wanaishi sehemu za Kirobon
Mangen tos mokukonon boisiet noto karon,Sijui kama watanipatia hio kazi kesho
Abwati awo emet ap sang kenyii no.,Ninafikiria kwenda nje ya nchi mwaka ujao
Ilule pik ketik  en mau ,Watu hukata miti  huko  Mau 
mito kandoik eng' imanwek tugul,Kuna viongozi katika didni zote
Angen kole  kit nikwayay kokibo berberiet neo nea,Najua nilichofanya kilikuwa kijinga sana
Mache keswek ab chaik ole yakwai mising',Mbegu ya chai huitaji mahali iliyo na rotuba
igeere mogoryondenin kogoal karit age,Yule tajiri amenunua gari jingine?
Wendi inende chepto eng' kaitang'wang' ya kiib,Msichana ndiye anayetoka kwao akiolewa
Aya mayai Kiptoo inendet poisyo notok,Labda Kiptoo hakufanya kazi hiyo mwenyewe
Mitei gigundisyek aeng'u chepo piik yu.,Kuna makundi mawili ya watu hapa.
Kikipir kabarashatik  polishek ,Polisi wa kijeshi walipiga waandishi wa habari 
Karutochon  kamennyu eng' sukul rani,Mama yangu amenitembelea shuleni leo
atame anete ye arot aboisien karit,Mimi huchoka ninapo safiri kwa gari
konyor kiiy age tugul kowirchini gutit,Alipata kitu chochote anarusha mdomoni
kiyai menote nyin komanyoru torite noo,Kiburi chake kilimsababisha kupoteza usaidizi huo
Ni katonon ko papa nepo Chepkoech.,Huyu aliyesimama ni babake Chepkoech.
 Kany serii ab logoiwek kimwochkei.,Kangoje wanahabari sasa ilimwambia nadhari yake.  
 Togul ko kitaekuu namba akenge ako momii namba oeng.,Wote walipaswa kuwa namba moja kisha kusiwe na namba mbili.
 Zese ko agenge eng tiongiing che chorontoi ak biik,Mbwa ni myama  mmoja ambaye ni rafiki wa binadamu.
tinyei chelange tisie che chang' eng' borto,Chui ana alama nyingi mwilini
 Ngetuny ko akenge eng tiondo ne bo kerti ne kiywei ochei., Simba ni mnyama wa porini  mwenye kuogopwa sana.
Miten mbaronok emet ab  Somalia ,Kuna mashamnbasomalia 
Kiipet pik  karik che chang  en maranet ,watu wengi walipoteza nyumba
matiywei imwaa eng sautitab barak ,Usiogope kusema kwa sauti ya juu
Tuten pik che seretos ,Watu  kutoka sehemu tofauti za nchi walishiriki.
Kinyor kabatindet chego  litaisiek bokol,Mkulima alipata maziwa lita mia moja
Kale Isaac  ribe pik  ako mache  kalyet ,Isaac alisema  atachunga watu  na pia  Amani iko
Mithika Linturi ko neo nebo komostab kobotisiet eng emetab Kenya ,Mithika Linturi ndiye waziri wa kilimo katika nchi ya Kenya 
toretuu ketik kokonuu koris nekararan akucheru ne ya, Miti usaidia kutoa hewa safi na kuondea hewa chafu.
Kokochuch urwonotet njirenik eng nyanjosiek,Uchafuzi wa mazingira umechangia kupungua kwa samaki katika ziwa Viktoria
Taretin ne po kamennyi inendet.,Yeye ni msaidizi wa mama yake.
Wendi pkopire peek eng' ainet gila.,Anaenda kuogelea mtoni kila siku
Tetutikab bandaptai eng Bomet ,Shuguli za hali ya kwenda mbele Bomet
Kiaruny ke tyondo ap ingweny ki na nam,Mdudu wa ardhini alijikunja nilipomgusa
Kandoik ab KCB  komamache pik che tindo kenyishek  sasam,Viongozi wa KCB hawataki  watu wako na miaka thelatini
Ongekochi kiboitink ab Jehovah konyit ak kekasit ichek kwomtowech,Tuwapee watumishi wa Jehovah heshima na tuwaskize wanapotuhubiria
kandenaetap nasaritap ngwek,Kuweka vitanda vya mboga.
Kitindoi che echen nganda maragiat ne noto,"Tuna ukubwa wako, lakini sio kwa rangi hiyo"
Tagu kele koru ingweny muguleldo ngung ,Unaonekana umeshuka moyo
"Achame kolalang',kobate mamuchi atepe maat.","Ninapenda majira ya joto, lakini siwezi kustahimili joto"
ngobit nyasutet ab maat kobet pik tukuk che tuten ,Milipuko ya moto husababisha upotezaji wa mali.
Koi kipsomaniandet nin kosir kanetindet,Mwanafunzi yule ni mrefu zaidi ya mwalimu
Chaang biik raini eng siro,watu ni wengi sana Leo sokoni 
Kiiyan kochengei logoiwek eng oldo age,Aliamua kutafuta habari mahali pengine
 Kinyorukei Haji komii watokinyee.,Haji alijipata katika hali ile ile.
Yochei kerib itondap emet ko tililit eng betusiek tugul amu bo kamanut,Mazingira yanafaa kuwekwa Safi wakati wite kwani Yana faida nyingi
Iwendi sukul sait ata? Mamoche imeton.,Utaenda shuleni saa ngapi? Sitaki uniache.
nyigis ochei lolonin,Mzigo ule ni mzito sana 
Metibab kanisa ko inendet ne mitei kipswenget,Kichwa la kanisa ni yeye aliye juu Mbinguni 
tinyei tumwekab tuguk che ter arawet nito, Mwezi huu watu wengi usherekea mambo tofauti tofauti.
Kimine ketik  en mbaret b serakali  so  bwan,raatunapanda mti kwa shamba ya serikali  ndio mukuje
Toku pichait eng Ole loo,Picha inaonekana bora kwa mbali
Imuton ng'o kiwanjet ap ndegesyek?,Nani atanipeleka kwenye uwanja wa ndege?
Ke miano? mokerin eng' tarasa,Ulikuwa wapi? Sijamwona darasani
mekat ko kitil sioik chito age tugul ne urereni,Kila mchezaji anahitaji kuwa amekata kucha zake
Kikongeringitu njirenik eng nyanjosiekab Kenya ,Samaki wamepungua katika maziwa ya Kenya 
Kiyeit Haji kaa ketach eng boiboiye sikiik chii,Haji alipofika nyumbani kwao  alipokolewa na wazazi wake kwa furaha.
kogamwaun kwanda kole iwe olemite,Baba alikuambia aende penye alikua
Kitoukei kaniset netai eng betut ab Pentekost ,Kanisa la kwanza lilianza siku ya Pentakosti
Eng betusiek konekitit kokitinye kaimutik che terter,Hivi majuzi tumekuwa na majanga kadhaa
mwoe tugul kole metun kenyil kechobei eng emet age,Wote wamebaki kusema kuamini kuwa wataumbwa tena katika ulimwengu  mwingine.
Jane  ko lakwet ne ngom  en sukul,Jane  ni mtoto mwerevu shuleni
Tos ingen kole chamin nebo iman?,Je! unafahamu jinsi anavyokupenda?
Itinye marindet ne kararan ne mo kimoey,Una rinda nzuri ajabu
Yekingatinye kenyisyekuk ko kiatinye chamanet,"Nilipokuwa rika lako, nilikuwa na mpenzi"
Manyo laitoriat koyat sugul noto,Rais hakuweza kufuka kuifungua shule hio
Achame apai sesennyu ama amisye.,Ningependelea kulisha mbwa wangu kabla ya kula
Kolaa peek che chang minutik eng' mbaronik,Mafuriko ilibebe mimmea shambani
Pik che kilewenishe kokisisike kopire lewenishet,Wapiga kura walidumisha na kuweka amani wakati wa shughuli zote za kupiga kura na kupiga kura.
Tuten  lakok che tipik che pakakta sukul amune en moet ko kinam,Wasichana KidogowaTuten a huacha shule kwa sababu ya ujauzito ambao haujapangwa
 Bandee ko agenge eng ketit ne kinyoru end afrika ne bo tai, Mahindi ni zao kubwa linalopatikana afrika mashariki.
Ibwati ile kotayae ng'o kit nekararan neu ni?,Unadhani nani angefanya kitu kama hiki?
matukutinye koot nino dirishaisiek chebo bakoyande,Nyumba ile haina madirisha ya mbao tena
Pii som papang'ung' nyoet ap kaat akopo lelutyeng'ung'.,Nenda kamwombe babako msamaha kwa kosa lako.
Kit nebo kwangutiet ko ka konyorwa ra,Kitu cha ajabu kimenipata leo
mi Tom komyee ngisub ak kenyisheck chii ,Tom yuko katika hali nzuri kwa umri wake
Shabana fc komache  kandoindet ne bo England ,Shabana fc wanataka  kiongozi kutok England
Kimakuisoi kit ake tukul eng' tai,"Mwanzoni, sikuweza kuelewa chochote"
" Kechee ko tiondo ne nekonuu bindo, kororik ak makatee.","Kondoo ni wanyama wanaotoa nyama, manyoya na ngozi."
Ko kiip kitapusyek che lelachen kopwa sukuli nyo,Vitabu vipya vililetwa shuleni mwetu
Cheptap arap Nyongi ni ne oo.,Huyu ni binti mkubwa wa Bw. Nyongi.
Memande eng' tarasa konetisye kanetindet,Usitoke darasani mwalimu anapofundisha
Anyun mi nitok pichiindo neo,Sasa yuko katika hali ngumu sana
kikeyutye komosta ne bo werii,Jinsia ya kiume imesahaulika.
Mamagengi oli piamishe inye  inendet,Sijali unakula chakula cha jioni wapi
Somani lokoiwek ab emet ,Anasoma habari  za nchi 
Chengetab boiyon ab kokwet nekibet eng Nandi,Utafutaji wa mzee aliyepotea katika kijiji cha nandi
kitet laitoriande biik taman ak oeng',Rias aliteua watu kumi na wawili.
Kimuchi kesemberchi marakwek ak pandek,Tunaenda kupalilia maharagwe na mahindi
Chamei kwendi oinet atkan tukul.,Anapenda kwenda mtoni mara kwa mara
Ipwotwon che ka mwa kanetindet,Nikumbushe kile ambacho mwalimu amesema
Chopei kwandanyu boskilinyu ne kiil,Baba yangu anatengeneza baiskeli yangu iliyovunjika
kit akenge eng kap jii ko u tulondok,Umoja wa familia ni kama miulima.
Kimangen kole ngete nea Mary Kiptoo,Sikujua kuwa Kiptoo alimchukia sana Mary
Tos robon raini amu kitungen emet,Je kunaweza nyesha leo kwa ajili ya mawingi haya
Atindoi boiboiyet kosir boiboyet tugul nikiyatindoi,Ninahisi furaha kuliko nilivyowahi kuhisi hapo awali
Tinyei kwaninyu kechirekbokol ak aeng,Baba yuko na kondoo mia mbili
Inyalu ibirchi sigig ku simoit konyil kochanga nea,Unapaswa kuwapigia simu wazazi wako mara nyingi zaidi
koname komito klasit oeng ko kimito kiwangoinik,Tangu alipokuwa kidato cha kwanza alikuwa ameshiriki katika daraja  hili hili.
Kapa piik chechang' ganisa ra.,Watu wengi wameenda kanisani leo
roptaa kintee konyeren minutik en mbar, Mvua kubwa uharibu mimea shambani.
koyai tom AK Mary kuyekokimaktoi ko yahana komayai kuyee kokimaktoi,"Tom na Mary walifanya hivyo, lakini Yohana hakufanya hivyo"
I aldoi au karatiek,Je? Utauza karoti lini
tinyei ortinwekab townit boisionik che chang' ya beet,Barabara za mjini zinaendelea kuwa na shughuli nyingi mchana.
kot keegun akenge ko achek che kimen,Umoja wetu ni nguvu yetu kubwa.
kukutuiris urerenik eng kenyishe somok che rubekei,Alikuwa ameshinda tamasha hizi kwa miaka mitatu  sasa.
"Makitekchi biik chetililen ichekei,makaat ketach akot kibokitinik","Kanisa haikujengwa iwe ya wasafi pekeyao, yafaa tuwakaribishe hata walevi"
Makat iporchikey somanet ng'ung inyendet.,Inahitajika kwako kusoma kwa bidii zaidi
Kimatinye kasarta asaisan ripotit ngung,Sikuwa na wakati wa kusahihisha ripoti yangu
Tinyei ngalek chechang missing kutitab kingereza kosir kutitab japan ,Kifaransa kina vokali nyingi zaidi kuliko Kijapani
Shabana fc   kobendi karon berlin  urereni,Shabana fc wanaenda kesho Berlin kucheza
tinyei ketik che chan' sogek che tutegen ya yamat,Miti mingi ina majani machache kukikauka
"""kongoi missing,""kimwachi chichoto chito neoldoishe","""Asanti sana,""mtu huyo alimuambia muuzaji "
Emet nenyonet ko Ethiopia ,Ethiopia  ni nchi yetu
Kikakongetyo bik ab Kenya amu likiripto emet laitoriat,Wakenya wamechoka kwa uongozi wa rais
 Kinai boisekab keket ndegeait eng kampuni akenge kelinji kimeche chepyoso.,Alitafuta kazi  ya urubani katika kampuni ya kwanza ya ndege ila akaambiwa kuwa walitaka   rubani mwanamke.
Eng kiami kenyisiek kuk ki kiyatindoi chorwet ne chepto,"Nilipokuwa rika lako, nilikuwa na rafiki wa kike"
Alyet ab  pushek ko mie barak amu ngering'  peek ,Bei ya  unga iko juu kwa ajili ya upotevu wa mahindi
Yeiborukei eng tait ab Kiptayat akikur kokase sautik kuk ,Unapojitambulisha mbele za Bwana na umwite ataskia maombi yako
kibaar chego tugul ingweny,Maziwa yote yalimwagika chini sana
Iurii keti peek chuk,Mti huu inakinga jua kufikia mahindi yangu
Amoberbergei kole ongomen angaa oberber eng tainyi,Na msidanganyike kuwa wenye hekima na kumbe mbele zake nyinyi ni wapumbavu
mamche kasit ab maiyek ak bangi ,sitaki kazi ya ulevi na bangi
Kitinye tuka che Tuten nea en Sotik,Tuko na ngombe mingi sotik
Kikisakan ko kararanit oldo tugul eng' koot ni, Nyumba hii imerembeshwa kila mahali
Ocherin kitapusyek kwok chepo pswaili osir chu.,Toeni madaftari yenu ya Kiswahili mnakili haya.
Kokinam biik che aldoi keturek ab serikali ako namei asoya ,Walishika watu wanao uza mbolea na corruption
Agui nenyi konoto ikwerie pikipikit ,Babu wake ni yule anayeendesha pikipiki
Taku oriti yakakoistake mokotyet ab barak',Shell baada ya ganda smashed ndani ya ngome
"Gaigai,""tos anyoru usit ago sindanut?""","Tafadhali,""Naeza pata Uzi na sindano?"
 Ye tesokis nambaishe igas biik kole tibiik.,Pindi idadi ikiongezeka unasikia watetezi wakisema kuwa  wasichana
Iloe nee eng' pagit ng'ung?,Unabeba nini kwenye begi lako?
Kingem maranet tukuk ap mbar ak kiakik,Mafuriko yaliharibu mimea na mifugo
Amoche itepe yu akoy yeawege.,Nataka ukae hapa hadi nitakaporudi
tiletap sogek eng tyongik,Kukata majani kwa wanyama.
 Kiba serii ab lokoiwek okoi kokwee ngwang.,Wanahabari wa runinga zote walizuru hadi kwao vijijini.
"Nyoiwon kat, maamuch asirun amut.",Samahani sikuweza kukuandikia jana
Aku kukeny ko mechei biik che tononjini oldo noto koker ,Aidha wasimamizi wa uwanja huo wameweka mipango ya kuweka ua sehemu hio
Yeiro Kiptoo ilenchi ko goti,"Ukimuona Kiptoo, mwambie nimesema hello"
lolei mising kasartab beet eng' sukul,Kipindi cha mchana shuleni huwa joto sana
Oo pelyondo nin ne mokimwoey.,Ndovu yule ni mkubwa sana.
ango kitunye kamonut eng icheek ko mongen,Iwapo bora ilikuwa na maana kwao basi sijui.   
Anyiny pendo ne po ngororiet mising,Nyama ya mbuzi ni tamu sana
Kiayai boisiet mfumoini komie agoi kenyit ab elipusiek sisit ak artam,Mfumo huu ulifanya kazi vizuri hadi miaka ya 1840
Patrik ko kocheni Post rangers  ,Patrick ndo kochu wa Post rangers 
Maimuchi sigikuk kobesyech koigeny,Wazazi wako hawawezi kututenganisha milele
Kimwawan atindonyot inot karun ,Aliwaambia hadithi hiyo kesho 
Atepe makawet eng kasarta ne uu ni,Ninakaa hotelini kwa wakati huu
Kopa ainet icheket koron ako tomo kowek,Wao walienda mtoni asubuhi na hawajarudi
Kimwei ama tar keret nyi.,Alitoroka kabla ya kumaliza kifungo chake.
Kiatep bukut noto eng tukaisiek chechang nea,Niliuliza kuhusu kitabu hicho katika maduka mengi
Rwaik che salamonik  komache imandanywan ,walemavu  wanaokimbia wanataka  imani yao
Kokikochi konunoik kipsomaninik che kosir tyemutik,Wanafunzi waliopita mtihani walipewa zawadi
 Kegoi keriche tionging kotoreti kenai korotwek che terotin., Kutoa chanjo kwa wanyama ulinda wa kwa wagonjwa mbalimbali.
kikiib Waridi eng' kenyisiek tutegen mising,Waridi alioleka kwa umri mchanga sana
 Kigas chepto akenge komwoune age tukuk cheibwatu Haji okoi.,Alimsikia binti mmoja akimwambia mwenzake maneno  ambayo Haji anayakumbuka hadi leo.   
 Likisoit ne manyoruu chii eng kaa.,Likizo ambazo hawakupatikana  nyumbani.
Masirisye kilamisyek chuk tukul,Kalamu zangu zote haziandiki
Kikoito Kamuktaindet kamuket nebo maotik ak chemwototi ngalechik chemiach,Mungu alipeana uwezo kwa manabii ambao wanatangazaneno lake
Kakopet kitabunyu nepo Pswoili,Daftari langu la Kiswahili limepotea
Kiam penyotok atya kotep ake,Alikula nyama hiyo na kuagiza nyingine
Awolu tyebutik choto sait ake,Nitajibu maswali hayo wakati mwingine
"Yekibe kot nyi, kokanye Inendet kesub ngatutik chik eng oret nechamat","Tunapoenda kwenye nyumba yake,anataka tufuate sheria zake katika njia inayofaa"
Pitetap minutik ko tesei  urwonindetab itondap emet ,Unyunyiziaji wa dawa kwa mimea huchngia katika uchafuzi wa mazingira. 
Kigur tupchennyi pkorip tuga twai.,Alimwita dada yake wawalishe ng'ombe.
kiarusan karinoto ko tomo kulal maat,Moshi ulitoka kwenye gari hilo kabla ya moto
Kimache kinam keye chaik  iman any,Tunataka kuanza kunywa chai  ya ukweli
Kwanda ker ngotos imuchi itobeno ? ,"Baba, tuone kama unaweza kunitazama"
Atinye panganet atakchigei Australia.,Nina mpango wa kwenda Australia.
"Kokotapton kahawek eng"" kericho",Kahawa ya Kericho imepata maua
kesutik chechang ko kelchin,Mavuno mengi ni mafanikio.
Eng bik tugul che tyeni ko ngo nei chome kosir,Ni nani kati ya watunzi unayempenda zaidi?
Ibwoti Kiptoo kole tinye kimnot kosiron,Kiptoo anafikiri kwamba ana nguvu kuliko mimi
Kisire kasi kwonyik ak murenik eng' yu.,Wanawake kwa wanaume wataajiriwa mahali hapa.
Kibendi Narobi  karun keyal chaik.,Kesho tunaenda narobikununua chai.
"Kikibchei sukulit, mito komostab werik ak tibik","Shule zimegawanywa, kuna sehemu ya wavulana na ya wasichana"
Kasip koit kanetoik  sukul rani,Walimu wamefika shulenia mapema leo
kiyay lelinto ichekei,Lakini kosa walifanya wao wenyewe.
Tos ketechome imwoiwo ngolyo ake? ,"Je, ungependa kuniambia jambo lingine?"
Amache achesan eng triathlon nenyon eng tai yo,Ninataka kushiriki katika triathlon ijayo
Momi tamanu eng' kipsomaninik ap tarasennyo,Wanafunzi kumi hawapo leo darasani mwetu
Harambe star ko katiarik che ab mpiret chepo kenya ,Harambee star  ni wachezaji wa kenya
Bomori  patiem nenyun net ako ngwan ,Babu alikufa na niuchiungu
lolei arawet ak kokelik eng' kemopu,Mwezi na nyota zinang'aa usiku.
Terchnitap kirwogik ak ogiliek eng emet ab Nandi,Usaidizi wa chifu na wakili katika Nandi
Tos ki iite sukuki nyo ii?,Je umewahi kufika shuleni mwetu?
Tindo kabwatet ne yea kole kisindoni tupchet nyi,Ana hofu kwamba kaka yake atashindwa
"kiip cherop tugun chechang ocheng biskut,magatiat ago penselit","Cherop akichuka vitu mingi sana biskuti,mkate na penseli"
che bo sukulit ne bo oeng,wa shule za upili
Maimuch   kerat inendent  ngamu ksirto,Hakufungwa juu  alikufa 
Iboiboichini sobet eng' sukul ye irub ng'atutik, Ukifuata sheria shuleni utafurahia maisha
Makat kochoronok kanetundet ak kipsomaninik chik,Mwalimu anaoaswa kuwa na urafiki na wanafunzi wake
Karun ke bendi Baringo keker ainet  newon nea ,Kesho tunaendaa baringo kuona mto kubwa.
Mi tuyet ap kanetik ak sikik,Kuna mkutano wa wazazi na walimu
Nerekwe eng togochik kwak kovoru kole kakobetyo eng sobee ngwang,Huzuni katika nyuso zao ni irari kuwa  wametambarika na maisha.
Mamache amwachi chamanenyun kou notok,Sitaki kumwambia mpenzi wangu hivyo
Mitei minutik konyil oeng chebo amitwogik ak che  kioldoi,"Mimea imegawa kwa manufaa mawili,ya chakula na ya kuuzwa"
Mmiten kasishek  che bo  pik che mengechen,Hakuna kazi  kwa Vijana
Mochei kecham Jehovah ak mugulelwek chok amu chemoch inendet,Na tukampende Mungu kwa na mioyo yetu yote maana anatupenda sisi
mito kekwerie tuga asibigenya,Ngombe hawa wanapelekwa hili wapewe matibabu
Tos mengen Ile tebe mwaita barak nebo bek,"Je, hujui kuwa mafuta huelea juu ya maji?"
Amache amwa kongoi akobo kit ne kiay.,Ninataka kukushukuru kwa ulichofanya
Kimache kepee karon kaa Chebole ,Nataka kuenda  nyumbani kesho chebole
Tos kinyorchin ano keswekab ak minutikap ketik,Je unaweza kupata wapi mbegu  na Miche ya miti? 
Kiinaat amu kilosekei kole mokoriot,Alijulikana kwa kujidai tajiri sana
Chang chepyosok  che peku ingesiche.,Wa kina mama  wengi hukufa wakizaliwa
Miten tipik che karoron nea ,Kunawasichana warembo
Kokotai kowalak Kenya amu chobe laitoriat,Kenya imeweza kubadilik kwa kuwa rais anaijenga tena
Awendi ole ka'muta   karun ,Wataenda kwenye atanipeleka kesho 
Kichome nea kabwatutik che chebyoset nyin ni kikome,Alithamini kumbukumbu ya mkewe aliyekufa
Kokotesokis ribikap tugab chego,Wafugaji wa ngombe wa maziwa wameongezeka
Kiboe sagok ab ndizik tuga,Majani ya ndizi hutumika kulisha ngombe
Makat kaketar poisyoni ngipkoite karon.,Kazi hii inabidi ikamilishwe ifikapo kesho asubuhi.
Iboti toroktet mbaret neo ang kasarta ne mining ,Trekta hulima shamba kubwa kwa Muda mfupi
Mayanwa konut nyun koek atindoi seset,Baba yangu hakuniruhusu kuwa na mbwa
 kekol keswek che kororon ko moch kotes kobotishe., Kuzalisha mbegu iliyobora inaweza tija ya kilimo.
Achame missing' inendet ne makoy apakach.,Ninampenda sana hivi kwamba siwezi kumuacha
Omwonjin Kiptayat akoba milet ng'wo sikotoritok ,Ambieni Bwana Yesu kuhusu mizigo yenu atawasaidia
Kokikimii sukul ko kibwa kandoinik konyoko ker baisiet nenyon,Tulikua shule viongozi walipokuja kuona kazi yetu
Kiptoo kokitindo rubet neo nea kot ko kiam amitwokik ab ngokto,Kiptoo alikuwa na njaa sana hivi kwamba alikula chakula cha mbwa
Kokotestai ko ng'emak nea poisyennyi.,Biashara yake imezidi kuwa mbaya sana
Kakoitekei eng rirenetab kapkirwok ,Ninajitupa kwenye huruma ya mahakama
Katunisyet ko katuyet ap chepyoset ak poyot.,Ndoa ni muungano wa mke na mume
 Amuee si mabwa serii ab lokoiwek kongalal ak Haji?,Kwanini wanahabari  hawakuja kumuhoji Haji wangu?
ngo neu inye   iman ooh ,Nani  kama  wewe 
Kikiwon pik  en  imbaroko che chwaget,Watu wengi walifukuzwa kwa nguvu kutoka kwa ardhi yao.
Miteb chorik sipitali  ab Bomet ,wezi wako  hospitali ya Bomet
Akoi iwe sang' ngotimache ikul sigaret.,Lazima uende nje ikiwa unataka kuvuta sigara
Koitalel Arap Samoe ko ki chi neo nea eng Nandi amu kiparchi ke keeku bik che bendoti kityo,Koitalel Arap Samoe ni mtu mkuu kwa  watu wa nandi kwa kuwa alipigania nchi yetu
Yaaksei ureryono angot ye ropon.,Mchezo huo utafanyika hata mvua ikinyesha
Yache kopwa pi kaa  karon  ngamun kipendi Bomet ,Inapaswa wakuje nyumbani  Kesho kwa sababu tunaenda Bomet
"Mong'u eng' yuto tyemutie, bo kamunut anonon kibagengeitab Islamek?","Hapa linajitokeza swali kwamba, ni nini maana ya umoja wa Kiislamu?"
Chang pik che kokobek en Kericho,WATU wengi wamekufa huko kericho 
pendi shabana karun ethopia ,shabana wanaenda Ethopia Kesho 
Asrichini chorwennyu parwet inguni,Ninaandika barua kwa rafiki yangu sasa hivi
Toreton iwolwon tyebutyoni ngoti muchi,Nisaidie kujibu swali hili iwapo unaweza
karit ab mat kakakocheleean karibu saait angengee ,Treni ilikuwa karibu saa moja nyuma ya wakati
Kagimitetab kalyet eng Baringo ak Turkana,Kupeanwa ushauri kule Baringo na Turkana
Kituni daisy karun en Sotik ,Dasiy anaoleka kesho pale sotik 
kimwachi agui konyo nyoto asigomwachi ngolyo,Babu alimwambia aje huko Ili amuulize swali moja
Abori eng' tyemutik chuk chepwone.,Nitafanya vizuri katika mtihani wangu ujao.
Kawo sukul konyor ko kerat,Alienda shuleni akapata imefungwa
mache kebe kaa raa ochen,Tunataka kuenda nyumba leo sana
Kiptoo korue sait mut nebo kemboi,Kiptoo analala tu saa tano usiku
"kigeer kosiir komwokkei,kobirgei",Badala ya kurushiana risasi waliamua kupigana
Ndalen machame Kiprop aeku neaperperisyei,Nikisema simpendi Kiprop nitakuwa nadanganua
Pik ab kabarastet ko kotuyo  ak  kandoik ab sikulit ab barak inoton,Mwandishi wa habari alikutana na viongozi wa vyuo vikuu.
Kabarak ko sukul ne kararak kot mising ,Kabarak ni shule nzuri kabisa 
Kopit nyasutyonotok amun ingeleldo nyi.,Ajali hiyo ilitokana na ukorofi wake
Ang ii kitindoi saisiek ata ketar kit ni?,"Je, tuna muda gani wa kumaliza hili?"
mameche kipsoiwet ko mito kipsoiwet age ne itei ye ma inende,Jogoo hataki kukuwe na jogoo mwingine anayewika isipokua yeye
Masaiyo nganok komie amu korobanchi,Ngano haikukauka vizuri kwa sababu ilinyeshewa
Momoche konerekcho chi age tugul,Sitaki mtu yeyote anikasirikie
Ko tai boriet eng biik amu macham kandoindet no konam ngecheret,Vita zilizanza kati ya watu kwa kuwa hawakupenda aliyepata kiti
Ongechamgei eng kibangenge kouyo chamet babanyo nemitei  Kipswenget,Tupendane kwa pamoja kama jinsi Baba yetu aliye mbinguni anatupenda
kibendi  sukul   karun langat ,Kesho tutaenda nyumbani usiku 
Ki ksartab aragenet notok eng' sobennyu.,Hizo zilikuwa saa za huzuni zaidi maishani mwangu
Kimitei Tokyo kochengei boisiet ,Alikuja Tokyo kutafuta kazi
Yae kasi tupchennyu eng' pengi,Dada yangu anafanya kazi katika benki 
mechei borwekab lagok amitwogik che chang' asikukintoitu,Miili ya watoto huhitaji chakula kingi ili kukuwa
Kiwalak Kiptoo mising kongete sukulit ab aeng,Kiptoo amebadilika sana tangu shule ya upili
kiibu hasaret nito nunetab kesutik,Hii ni kutokana na hasara inayosababishwa na kuoza kwa zao hilo.
Magat imuite bolatosiek chu tugul ,Unapaswa kuvumilia kelele hizi zote
Kikitun inendet kitinye kenyisiek taman ak tisap,Aliolewa akiwa na umri wa miaka kumi na saba
Logoywek ab emet chebo sait tisab,Yanayoendelea katika nchi katika wakati wa kula
Imnyani kechiriet akenge eng ra,Kondoo mmoja ni mgonjwa leo
Yache komwachi pikkelejin mat koyeb ketik ,watu wanapaswa kuambiwa wasikate  mti
Tos inyone konyon auyo kogeny?,"Je, unakuja kwetu lini tena?"
Kasarta ake aunikey ane karon.,Wakati mwingine mimi huoga asubuhi
