Kidaw'ida,Kiswahili
Midi yadafunya mbande.,Miti inatoa kuni.
Nyonyi radajoka mbeonyi.,Ndege hupanda angani.
Shimba ni nyamandu ra isakenyi.,Simba ni wanyama wa porini.
Iruwa jadafunya ndighi.,Jua linatoa nishati.
Vua yadareda mbeo.,Mvua inaleta baridi.
Wandu wadakunda kukufunda.,Watu hupenda kujifunza.
Kichula chadakana lwaka loshunua.,Chura huwa na sauti ya ajabu.
Nguluma radima kuzoghua.,Samaki wanaweza kuwa wakubwa.
Bahari eko na nyamandu ndazi.,Bahari ina viumbe wengi.
Shimba ni wakabana wecha .,Simba ni wapiganaji hodari.
Mdi ghwadima kukaia na matunda.,Mti unaweza kuwa wa matunda.
Nyonyi radashamwa sa wakundwa.,Ndege hufugwa kama kipenzi.
Vua yadareda kughoka kwa asili.,Mvua inaleta uzuri wa asili.
Wandu wadapoilwa kudamba mbeonyi.,Watu hupenda kusafiri angani.
Nyerinyeri radareda ndodo.,Nyota zinaleta ndoto.
Vindo vadima kukaia na lishe.,Chakula kinaweza kuwa chenye lishe.
Shimba radima kukaia na chwaka mbaa.,Simba wanaweza kuwa na sauti kubwa.
Iruwa jadashekeria mruke.,Jua linasababisha joto.
Vua yadima kuwuya vua ya ndoria.,Mvua inaweza kuwa na mvua za chemchemi.
Nyonyi radima kukaia na matandamatanda.,Ndege wanaweza kuwa na madoadoa.
Bahari eko na fuo righokie.,Bahari ina fukwe nzuri.
Wandu wadapoilwa ni kukukasa na mizango yawo.,Watu hupenda kujivunia utamaduni.
Shimba radima kukaia na mafuri ghighokie.,Simba wanaweza kuwa na nywele nzuri.
Midi yadafunya kiju chighokie.,Miti inatoa kivuli kizuri.
Nyerinyeri radima kukaia na maza rawo.,Nyota zinaweza kuwa na mikasa yao.
Kichula chadima kukaia cha rangi ya malemba mawishi.,Chura wanaweza kuwa wa kijani.
Vua yadima kukaia na mawimbi mabaa.,Mvua inaweza kuwa na mawimbi makubwa.
Wandu wadapoilwa ni kushoma vuo.,Watu hupenda kusoma vitabu.
Nyonyi radima kukaia na mafuri ghighokie.,Ndege wanaweza kuwa na manyoya mazuri.
Bahari yeko na ngasu rake.,Bahari ina siri zake.
Shimba radima kukaia na kichuku kibaa.,Simba wanaweza kuwa na familia kubwa.
Iruwa jadabuka na kuneng'ena.,Jua linachomoza na kuzama.
Vua yadima kukaia na chwaka righokie',Mvua inaweza kuwa na sauti ya kupendeza.
Wandu wadapoilwa ni chumbo.,Watu hupenda kusikiliza muziki.
Vindo vadima kusinga nandighi.,Chakula kinaweza kuwa tamu sana.
Shimba radima kukaia na miri ndacha.,Simba wanaweza kuwa na mizizi mirefu.
Midi yadima kukaia na mbashu ndazi.,Miti inaweza kuwa na matawi mengi.
Nyonyi radakaba machi machinyi.,Ndege hupiga mbizi majini.
Bahari yeko na viumbe veshunua.,Bahari ina viumbe wa kushangaza.
Wandu wadapoilwa kusarigha misarigho.,Watu hupenda kucheza michezo.
Shimba radima kukaia na chwaka rekumba kiture.,Simba wanaweza kuwa na sauti ya kutisha.
Iruwa jadima kukaia jeng'ala.,Jua linaweza kuwa la kung'aa.
Vua yadima kukuia vua ya luma lwa kenyi.,Mvua inaweza kuwa na mvua za jioni.
"Kichula chadaka na sauti ya ""ribbit"".","Chura huwa na sauti ya ""ribbit""."
Nguluma  radima kukaia na rangi righokie.,Samaki wanaweza kuwa na rangi nzuri.
Nyonyi radima kukaia na misharia ya rangi.,Ndege wanaweza kuwa na michirizi ya rangi.
Bahari eko na mandhari ghighokie.,Bahari ina mandhari ya kuvutia.
Wandu wadapoilwa ni kuboilwa.,Watu hupenda kufurahia asili.
Shimba radima kukaia na tabia risefwanane.,Simba wanaweza kuwa na tabia tofauti.
Mdi ghoka na malemba malazi.,Mti una majani mengi.
Vua yadima kukaia ija yechelewa.,Mvua inaweza kuwa na mvua za kuchelewa.
Wandu wadapoila kuagha waghenyi wawo.,Watu hupenda kujenga marafiki.
Nyonyi radima kurama kula.,Ndege wanaweza kuruka mbali sana.
Vindo vadima kukaia na mzingo ghuboie.,Chakula kinaweza kuwa na ladha bora.
Vua yadima kureda kubuka .,Mvua inaweza kuwa na mvua za machipukizi.
Shimba yadima kukaia na meso mabaa.,Simba wanaweza kuwa na macho makubwa.
Midi yadima kukaia na rangi ighokie ya malemba.,Miti inaweza kuwa na rangi nzuri ya majani.
Wandu wadapoilwa ni kuwusira maghu.,Watu hupenda kufanya matembezi.
Bahari yadima kukaia na matumbawe pacha.,Bahari inaweza kuwa na matumbawe mengi.
Iruwa jadima kukaia na mruke ghubirie.,Jua linaweza kuwa na joto kali.
Nguluma radima kukaia na maumbo ghisefwanane.,Samaki wanaweza kuwa na maumbo tofauti.
Shimba radima kukaia na miri.,Simba wanaweza kuwa na mizizi mingi.
Vua yadima kukaia na lwaka luhorie.,Mvua inaweza kuwa na sauti ya utulivu.
Wandu wadakunda kusikira chumbo ra asili.,Watu hupenda kusikiliza muziki wa asili.
Nyonyi radima kukaia na misharia ya rangi.,Ndege wanaweza kuwa na michirizi ya rangi.
Kichula chadaka na ngozi idendere.,Chura huwa na ngozi inayong'aa.
Bahari yadima kukaia na wundenyi mlacha.,Bahari inaweza kuwa na maji ya kina kirefu.
 shimba radima kukaia na chwaka reobuisha.,Simba wanaweza kuwa na sauti ya kutisha.
Midi yadima kukaia na matunda pacha.,Miti inaweza kuwa na matunda mengi.
Iruwa jadima kukaia na chumi na ra modo.,Jua linaweza kuwa na miale ya joto.
Vua yadima yadima kukaia ya mruke ghubirie.,Mvua inaweza kuwa na mvua za joto kali.
Wandu wadapoilwa ni kushoma chughano ra asili.,Watu hupenda kusoma hadithi za asili.
Shimba yadima kukaia na lwaka lupoie.,Simba wanaweza kuwa na sauti ya kupendeza.
Nyonyi radima kukaia na mafuri ghighokie.,Ndege wanaweza kuwa na manyoya ya kuvutia.
Bahari yadima kukaia na mawimbi ghiboie.,Bahari inaweza kuwa na mawimbi ya kupendeza.
 mdi ghwadima ghukaie na kiju chikate.,Mti unaweza kuwa na kivuli cha kutosha.
Wandu wadapoilwa ni kuchora virerende va asili.,Watu hupenda kuchora picha za asili.
Vindo vadima kunukia nicha.,Chakula kinaweza kuwa na harufu nzuri.
Vua yadima kukaia ya luma lwa kenyi.,Mvua inaweza kuwa na mvua za jioni.
Nguluma radima kukaia na ngozi iko na misharia.,Samaki wanaweza kuwa na ngozi yenye mistari.
Shimba yadima kukaia na lwaka lupoie.,Simba wanaweza kuwa na sauti ya kuwasisimua.
Nyonyi radimakukaia na chwaka  risingie.,Ndege wanaweza kuwa na sauti ya kuvutia.
Bahari yadima kukaia na nyamandu reshunua shuu.,Bahari inaweza kuwa na viumbe wa kushangaza sana.
Wandu wadapoilwani kudamba melinyi.,Watu hupenda kusafiri kwa meli.
Vua yadima kukaia ya kiremba .,Mvua inaweza kuwa na mvua za dhoruba.
Shimba yadima kukaia na mkomba msuse.,Simba wanaweza kuwa na mkia mwembamba.
Mdi ghwadima kukaia na mbashu righokie.,Mti unaweza kuwa na matawi mazuri.
Vichula vadakaia na lwaka losekesha.,Chura huwa na sauti ya kuchekesha.
Nyerinyeri radima kukaia na chumbo rawo.,Nyota zinaweza kuwa na nyimbo zao.
Wandu wadapoilwa kusikira chwaka ra asili.,Watu hupenda kusikiliza sauti za asili.
Shimba yadima kukaia na maghesho ghikurie.,Simba wanaweza kuwa na mawazo ya kina.
Nyonyi radima kukaia na misharia ya rangi.,Ndege wanaweza kuwa na michirizi ya rangi.
Bahari yadima kukaia na nyamandu reshunua shuu.,Bahari inaweza kuwa na viumbe wa ajabu sana.
Wandu wadapoilwa ni kubonya varo va asili.,Watu hupenda kufanya safari za asili.
Vua yadima kukaia yeboia wandu.,Mvua inaweza kuwa na mvua za kusisimua.
Shimba yadima kukaia na lwaka lohora.,Simba wanaweza kuwa na sauti ya kutuliza.
Vindo vadima kukaia na viungo vinukie nicha.,Chakula kinaweza kuwa na viungo vyenye harufu nzuri.
Nyonyi radima kukaia na sayari yawo.,Ndege wanaweza kuwa na sayari zao.
Bahari yadima kukaia na ngasu rake.,Bahari inaweza kuwa na siri zake.
Wandu wadakunda kujifunda kufuma kwa asili.,Watu hupenda kujifunza kutoka kwa asili.
Shimba radima kukaia na vichuku va lukundo.,Simba wanaweza kuwa na familia za upendo.
Iriwa jadima kukaia na mwengere ghukundo.,Jua linaweza kuwa na mwangaza wa kupendeza.
Vua yadima kubusa ndoria.,Mvua inaweza kuwa na mvua za chemchemi.
Vichula veko va rangi visefwanane.,Chura huwa na rangi tofauti.
Nguluma radima kukaia na maliso ghisefwanane.,Samaki wanaweza kuwa na tabia za kipekee.
Nyonyi radima kukaia na chwaka ripoiaa wandu.,Ndege wanaweza kuwa na sauti za kufurahisha.
Bhari yadima kukaia na mazingira ghipoiagha wandu.,Bahari inaweza kuwa na mazingira ya kuvutia.
Wandu wadakunda kukaia na kuzaiaya kwa asili.,Watu hupenda kuwa na uzoefu wa asili.
Shimba yadima kukaia na lwaka lohora.,Simba wanaweza kuwa na sauti ya kutuliza.
Midi idima kukaia na miri imange.,Miti inaweza kuwa na mizizi imara.
Iruwa jadima kuneka wandu ndighi.,Jua linaweza kuwapa nguvu watu.
Vua yadima kukaia na miruke.,Mvua inaweza kuwa na mvua za joto.
Vindo vadima kukaia na msingo ghwa vieka.,Chakula kinaweza kuwa na ladha ya kipekee.
Iruwa jawefutuka luma lwa kesho.,Jua linachomoza asubuhi.
Nyonyi radafunya vifurute.,Ndege hufanya vipepeo.
Vua yadareda mbeo.,Mvua inaleta baridi.
Mdi ghwadafunya kiju.,Mti unatoa kivuli.
Wandu wadapoilwa ni kushoma.,Watu hupenda kusoma.
Nyerinyeri ridawaka mawinguni.,Nyota zinaangaza angani.
Bahari eka na machi pacha.,Bahari ina maji mengi.
Kichula chadabora nakio.,Chura huimba usiku.
Nguluma radaogha machinyi.,Samaki huogelea majini.
Shimba ni nyamandu ra isakenyi.,Simba ni wanyama wa porini.
Vua yawenya shighadi.,Mvua inanyesha nje.
Nyonyi radabora kwa kupoilwa.,Ndege huimba kwa furaha.
Wandu wadapoila ni kuseka.,Watu hupenda kucheka.
Iruwa jaweaka nadime.,Jua linawaka mchana.
Midi yeka na malemba pacha,Miti ina majani mengi.
Bahari yeka na mawimbi mabaa.,Bahari ina mawimbi makubwa.
Vindo vadima kusinga.,Chakula kinaweza kuwa kitamu.
Shimba yadakuvisa malembenyi.,Simba hujificha kwenye nyasi.
Ua yadima kukaia ya ndoria .,Mvua inaweza kuwa na mvua za chemchemi.
Nyonyi radima kurama ighu.,Ndege wanaweza kuruka juu.
Wandu wadapoilwa ni kudamba.,Watu hupenda kusafiri.
Nyerinyeri radaaka nakio.,Nyota zinaangaza usiku.
Nguluma nderiwonagha nicha.,Samaki hawaoni vizuri.
Shimba ni nyamandu ra vichuku.,Simba ni wanyama wa familia.
Vua yadima kukaia na lwaka luhorie.,Mvua inaweza kuwa na sauti ya utulivu.
Kichula chadakaia na lwaka lwa 'ribbit'.,"Chura huwa na sauti ya ""ribbit""."
Bahari yeko na nyamandu reshunua.,Bahari ina viumbe wa kushangaza.
Wandu wadapoilwa ni kusikirsa chumbo.,Watu hupenda kusikiliza muziki.
Nyonyi radima kukaia na misharia ya rangi.,Ndege wanaweza kuwa na michirizi ya rangi.
Shimba yadima kukaia na mafuri ghighokie.,Simba wanaweza kuwa na nywele nzuri.
Vua yadima kukaia ya luma lwa kenyi.,Mvua inaweza kuwa na mvua za jioni.
Wai wa dawida ni vipulupulu,Wasichana wa taita ni warembo
Chawuchenyi kwa lukundo,Asanteni kwa upendo
Weke wawa wadanekana marasimio kwa viwawa vawo,Kina bibi hupeana baraka kwa wajukuu wao
Wafuma kilembenyi kushoa mbande,Ametoka kichakani kuokota kuni
Namaremare na masanga mengi,Nimezunguka mahali kwingi
Ngolo ra wadamu radima kughaluswa.,Mioyo wa binadamu inaweza kubadilishwa
Weke mwangalanga waida itakoni wikilola mwatulituli rilagharie,Polisi  wamepita sai wakitafuta simu zilizopotea
Yawonyera kwakundo ni waka walazi,Inaonyesha unapendwa na wanawake sana
Chovu radavvira wandu,Ndovu huumiza watu
Vindo vidungilo mwachaka vadasinga shuu.,Chakula kilcho na pilipili huwa tamu sana
Kukaghenda kusemuke.,Ukienda usikawie sana
Wavi wadakundikana wienje wana wawo skuli,Wazazi wanatakiwa kuwapeleka wana wao shuleni
Mashomo nigho mfunguo ghwa maisha,Masomo ndio ufuguo wa maisha
Kimanga chadekwa sufurienyi.,Kimanga kimeoikwa kwa sufuria leo!
Naweenda niluko nighoke.,Naenda kusukwa nikuwe mrembo
Miaka milazi yaida vua isenyee,Miaka mingi mepita bila mvua kunyesha
Damkundia ituku jipoyie,Tunawatakia siku njea
Kukaghenda idukenyi kudo kikuchu.,Ukienda dukani ubebe mfuko
Wasawi wose wikawadwa wadabwaghwa,Wachawi wote wakishikwa huuwawa
Wamrika walazi itanaa ndewiine vaghu., Vijana wengi hawana kazi
Wamrika wadajihusisha na malagho gheruda igho.,Viijana hujishughulisha na uvutaji bangi
Surukale yatesiagha  kwa maza ra mashomo.,Serkali husaidia sana hasa kwa mswala ya masomo
Misoro ra harusi radatesia kubonya matayarisho,Michango za harusi husaidia kufanya matayarisho
Nguwo ra harusi radashonwa na mafundi wa hali ya ighu.  ,Nguo za hrusi husahonwa na mafundi wa hali ya juu
Wandu wikabonya makosa wadaghenjwa andenyi.,Watu wakifanya makosa hupelekwa jela
Skuli rikakarughwa tikiti radajoka.,Shule zikifungwa titkiti hupanda
Kaunga yachee shuu aha ndoenyi.,Dhambi imeenea sana  hapa duniani
Wanake walazi wadaobua kughenda wughangenyi,Watoto wengi huogopa kupelekwa hospitali
Kukafuma ijumonyi kuidie kuonde mbogha,Ukitoka kanisani upitie uchukuwe mboga
Weke mao wadakaia na vama vawo va kila jumwa.,Kila mama huwa na vyama vyao vya kila wiki
Wadawida wose wadadeda kidawida,Wataita wote huongea kitaita
Mighondi ra dawida radalema wandu kujoka,Milima ya taita huwashinda watu kupanda
Wueli ni muhimu kwa maisha gha wadamu,Usafi ni muhimu kwa maisha ya binadamu
Maghesho pacha ghadima kukubonya kubadilike.,Mawazo mengi yanaweza kumfanya mtu awe chizi
Kufuma icho vua yaweanya.,Kutoa juzi mvua inanyesha sana
Marina ghose ghadawikwa chuonyi.,Mjina yote huwandikwa kwenye kitabu
Vipalapala vakundikana vilindilo viselaghae,Vitambulisho vinatakiwa vilindwe ili visipotee
Nyonyi radajighwa sa mbogha,Ndege huliwa kama mboga
Wadawana watini wadaenda msidunyi widiwe nyonyi na mbewa,Vijana wadogo huenda msituni wakawinde ndege na  panya buku
Mbuwa iri riko mghondinyi radapata vua mbaha,Mashamba yenye yako milimani hupata mvua nyinyi
Mapemba ghadawanika mghambenyi,Mahindi huanikwa kwenye dari
Wandu wadalindilwa ni Mlungu,Watu hulindwa na Mungu
Waghenyi wadima wikuingire kwa kaung'a,Marafiki wanaweza kukuweka kwenye shida
Maisha ghekunda mundu ukutumbanye nicha ,Maisha yanataka mtu  amejipanga vizuri
Mwai wasindelila,Msichana alikuwa analia
Wandu waduka mikono chongo angu wasilwa,Watu wamewekelea mikono juu wamechoka
Maza ra mbuwa radashekeria wandu wibwaghane,Mamb ya mashamba husababisha watu wauwane
Ighuo nedoka ngache yako mbuwenyi kwapo,Jana nilipata ndama shambani kwangu
Mburi resinda fwasha mapemba ghapo mbuwenyi,Mbuzi zilikuwa zinakanyaga mahindi shambani kwangu
Linu ni mwandu kwa kijiji,Leo ni mkutano wa kijiji
Wandu wa kichuku wawekwana l;inu.,Watu wa famlia wanakutana leo
Kila kilambo ni igome,Kila kitu ni pesa
Mghenyi wa loli ni bwana jesu,Rafiki wa kweli ni Yesu
Bora kukaia na waghenyi watini kuliko kukaia na marafiki pacha..,Heri kukaa na marafiki kidogo kuliko kukaa na marafiki wengi
Nakughorie ini nakirilo,Nilikwambia niliokoka
Sikunde wuasi na mndungi,Sitaki shia na mtu yeyote
Sikunde nimsighe Jesu wapo wa wundu ghwa lukungodo lwako,Sitaki kumwacha yesu wangu sababu yauchokozi wako
Wakenya wose wakundikane wishukuru kwa kila ilagho,Wakenya wote wanatakikana washukuru kwa kila jambo
Kifumbi chachika  chikapoiswa,Kiti kimevunjika kiakatengenezwa
Wana wa nguku wabwaghwa ni kideri,Vifaranga huuliwa na ugonjwa wa kideri
 Kimu cha maembe chabusa.,Msimu wa maembe umefika
Dazerwa diende mbuwenyi,Tumeambiwa tuende shambani
Iruwa jakaba nandighi,Jua linachoma sana
Wakongo wose wadaenda wughangenyi,Wagonjwa wote huenda hospitalini
Mwakio wadumwa idukenyii ukalegha,Mwakio ametumwa dukani akakataa
Nawika magome ghapo nicha,Nimwziweka pesa zangu vizuri
Wandu wose wawangwa mwandunyi,Watu wote wameitwa mkutanoni
Wandu wadaobua kughenjwa andenyi.,Watu huogopa kupelekwa jela
Kufuma icho wandu wawoka kulima,Kutoka juzi watu wameanza kulima
Nguwo rose reka riluwe,Nguuo zote zimechafuka
Mapemba ghawezoghua nicha,Mahindi yanakuua vizuri
Mao wafuma mbuwenyi,Mama ametoka shambani
Mbuwa ra itanaa rauzwa putu,Mashamba ya siku hizi yameuzwa kabisaa
Vilongozi va dawida wadatesia wandu na vindo,Viongozi wa taita huwasaidia watu na chakula
Wabonyikazi wa juakali wadapoisa vifumbi na mawuli.,Wafanyi kazi wa juakali hutengeneza viti na vitanda
Wana wikalegha kuenda skuli wadawuya vitoi.,Watoto wakikataa kuenda shule huwa wezi
Wakati ghwa vua chovu nderichaa adu wandu wiko,Wakati wa mvua nduvu haziji mahali ambapo watu wako
Nyamanduu ra isakenyi radared magome kwa surukale,Wanyama pori huletea serikali pesa
Wamrika walazi wadapata vaghu kwa mbagho ra nyamandu.,Vijana wengi hupata kazi katika mbuga za wanyama
Machi ghadakaia gha wasi cha kireti.,Maji huwa shida sana nyikani
 Wandu wa kireti wadaredelwa machi ni surukale.,Watu wa nyika hupelekewa maji na serikali
Wanakwaya wadabora chumbo risingie shuu.,Wanakwaya huimba nyimbo tamu sana
Mashindano gha chumbo ghawebonyeka idime,Mashindano ya nyimbo yanafanyika leo
Wasimi wichaendelea kuchumbana na wandu wazima,Washindi wataendelea kushindana na watu wangine
Machi ghadachua modenyi vua ikanya,Maji hujaa mtoni mvua inaponyesha
Wandu wadaagha na magho,Watu hujenga kwa kutumia mawe
Karibu nyumbenyi,Karibu nyumbani.
Chawucha nandighi.,Asante sana.
Nikukabia mwatulituli ngelo zima,Nitakupigia simu baadaye.
Irina jhapo ni david,Jina langu ni David.
Charo chipoiye,Safari njema!
Nekunda chai,Nataka chai.
Hae hae,Pole sana.
Napoilwa kukwana na oho,Nimefurahi kukutana nawe.
Ini ni mwalimu,Mimi ni mwalimu
Sighana nawo,Wachana nao
Wunja vilambo vake,Rudisha vitu vyake
Kwawisowa,Umewakosa
Kwagua ki?,Umenunua nini
Kusakenona,Usiharibu
Dafuna mboa mboa,Tafuna pole pole
Kwanonekelwa ni kifu,Tumbo limechafuka
Daida kala,Tumepita kitambo
Sileghie kukuredia,Sijakataa kukuletea
Mngulu wawurwa,Maharagwe yameiva
Deghua vindo,Epua chakula
Ughu ni mori ghwa kawi,Huu ni mwezi wa pili
Deka bana kedu,Tuko wanne kwetu
M'mbi ghwapo ghwawenija,Naumwa na mwili
Nawesasaghilwa,Nina washwa
Kishanua cheko hao?,Kichana kiko wapi?
Elesha momu,Nawa mdomo.
Mila vindo ima kudede,Meza chakula ndio uongee.
Mwalombia vindo?,Mmeombea chakula?
Neko nimange,Nipo imara
Mwengere ghwalaghasha kira,Mwangaza umepoteza giza
Wasinda njala,Ameshinda njaa
Aghia manongo,Futa kamasi.
Idana dizighane,Tuangalie sasa
Malagho ghiandikilo,Maneno yaliyoandikwa
Nicha mdwa wokoni,Nitambeba vivyo hivyo
Kuselowuo,Usioe
Msake imana,Msinyimane
Kwakaiya kira,Giza limetanda
Sena nakughoria,Nakuambia tena
Kudwalwa mdida,Utapelekwa kwa kasi
Chadu cha mmbenyu,Kiatu cha mwenzako
Msighe noko.,Miache huko
Kuja vindo,Utakula chakula
Angu hata ngera veko vilambo,Hata kama vyombo vipo
Ndediko na hachi,Hatuna haki
Nisungenyi ini,Nifuatizieni mimi
Inyo mwanyama,Nyinyi mmenyamaza
Ngolo redu,Nyoyo zetu
Kaba iseghe,Toka mbio
Wadamwa,Amechapwa
Lola mzima,Tafuta mwengine
Ini moni,Mimi mwenyewe
Abaa wapo,Baba yangu
Koko na makoto,Uko na maswali
Simkunde putu,Simtaki kabisa
Nafuma charonyi,Nimetoka safarini
Isi dawekotia ni ani,Sisi tunauliza ni nani?
Kwadiredia,Umetuletea?
Dawetambua ni dawida,Tunatambua ni taita
Kwaghoka shuu,Umependeza sana
Dawekunda kummanya,Tunataka kumjua
Namshana,Nimemlipa
Dapoilwa nandighi,Tumefurahia sana
Kudeda kiwiwi.,Kuongea vibaya
Kuranganya,Kuchanganya
Manosi mazima-mazima,Zawadi mbalimbali.
Sena koko kubonya kazi,Utafanya kazi tena
Kula mundu wanekelo,Kila mtu alipewa
Sena weko wadumiki,Tena kuna watumishi
Kwadanimenya nandighi.,Unanidharau sana
Kudendia,Kulainika
Kukukasa,Kukusifu
Diweni sena,Wenyewe tena
Ijho nijho irumirio,Hilo ndilo tumaini
Ilaghano iwishi,Agano jipya
Ela darilegha,Hata tumezikataa
Aho dawidimagha,Hapo tutawaweza
Dakorongwa kwa kula chia,Tumenyanyaswa kwa kila njia/hali
Nesi deko na ngolo mbaha,Nasi tuko na moyo mkubwa
Kungirwa kifungonyi,Kutiwa mbaroni
Isi,Sisi
Wipate,Wapate
Mchure,Mjaze
Namneka,Nimempatia
Venyu,Vyenu
Vindo vidungilo mwachaka vadakaa visingie shuu.,Chakula
Mawishi,Mabichi
Kukamerelwa,Ukimaliziwa
Kumeria,Kumalizia
Rake,Zake
Ukajielesha,Akajitakasa
Venyi,Zaeni
Mchurikie,Muongezeke
Neifunye,Na itoe
Mfugho,Mifugo
Rose,Zote
Riavuagha,Zitatambaa
Isakenyi,Kichakani
Ndedim'bonye,Tumfanye
Fuana,Mfano
Ghodu,Wetu
Ufwanane,Afanane
Miaka ilinga?,Miaka ngapi?
Ima kachaenda Mombasa,Ndio akajaenda Mombasa
Nezoiya kukaa cha Mairobi,Nilianzia kukaa Nairobi
Na ima nikacha cha Dawida,Ndio nikakuja Taita
Apa ukanekwa nyamandu rimu,Baba akapewa wanyama wengine
Mao oko udekagha mswara,Mama anapika ugali
Wana watini weka wililagha,Watoto wadogo wanalia
Aba waenda mbuwenyi,Baba ameenda shambani
Vua mbaa yawenya,Mvua kubwa inanyesha
Naweligha mburi na ng'ombe,Nachunga mbuzi na ng'ombe
Mwanedu waweshona nguwo,Ndugu yangu anashona nguo
Iruwa jawekaba shuu,Jua linachoma sana
Waweagha kigharo cha nguku,Anajenga nyumba ya kuku
Wandu wawewa midi.,Watu wanapanda miti
Wawa wawesikira kisaya,Bibi ni mgonjwa
Mao waenda marikonyi,Mama ameenda mazishini
Iriko jawo jadabongoroka,Jiko lao hubomoka
Wana wawesarigha kiwachenyi,Watoto wanacheza katika uwanja.
Matuku ghose nadapoilwa kushoma vuo,Siku zote ninafurahia kusoma vitabu.
Nakenyi ni ngelo ipoie ye horesha/kuzumua,Jioni ni wakati mzuri wa kupumzika.
Sikira nicha mafundisho nikunekaa nicha,Sikiliza kwa makini maelekezo yangu.
Mwatulituli wapo oka na wasi,Simu yangu inapata shida
Charo cha baharinyi cheboa,Safari ya baharini ni ya kusisimua.
"Iruwa jikanengena, izanga jadakaiya na rangi iboie", Dunia hupata rangi nzuri jua likizama.
Wandu wakundikie winekane ishima,Watu wanapaswa kuheshimiana.
Kikala cha isanga jedu ni wuzuri,Utamaduni wa nchi yetu ni tajiri.
Nedepoila kujifundisha mbari rimu,Nilipenda kujifunza lugha tofauti.
Wusalama ghwa chienyi ni nicha shuu,Usalama wa barabarani ni muhimu sana.
Matuku ghose nadabonya mazoezi nakesho,Siku zote ninafanya mazoezi asubuhi.
Ngelo rimu ni nicha kuja matunda,Wakati mwingine ni vizuri kula matunda.
Ituku jako jikaie jiboiye,Siku yako iwe na furaha.
Nadapoilwa ni misarigho,Ninapenda kucheza michezo.
Kichuku chapoie kwa maisha ghapo,Familia ni muhimu katika maisha yangu.
Ngelo ra mruke kwadaka modo,Majira ya joto ni ya moto sana.
Napoilwa kusikira malagho ghipoie,Nimefurahi kusikia habari njema.
Kazi yapo yekunda wongo.,Kazi yangu inahitaji umakini.
Skulu mbaa ni ando kupoie koshomia.,Chuo kikuu ni mahali pazuri kusoma.
Isanga jedu jeka na andu kupoiye kosela,Nchi yetu ina maeneo mazuri ya utalii.
Iruwa jakala,Jua ni kali
Maghesho ghako ghepoa,Mawazo yako ni muhimu.
Mkunde mbenyuu sajikoni kwawajikunda,Penda jirani yako kama unavyojipenda.
Kuseliwe kughua vilambo va maana,Usisahau kununua vitu muhimu.
Dumia ngelo na waghenyi wako,Tumia muda na marafiki zako.
Nadima kusikira lwaka lwa nyonyi,Naweza kusikia sauti ya ndege.
Kazi ipoiye yekunda kujiduma,Kazi nzuri inahitaji bidii.
Lukundo lwapoiye,Upendo ni hisia nzuri.
Bahari yeka na mbeo,Bahari iko na baridi
Polisi wefaa kudumikia muisanga,Polisi wanapaswa kuhudumia jamii.
Nadamba na mekisi.,Nimesafiri kwa garimoshi
Napoilwa ni mizango ra Wahindi.,Nimevutiwa na utamaduni wa Asia.
Wana wefaa kushoma kwa kujiduma,Watoto wanapaswa kusoma kwa bidii.
Kuseliwe kunugha sharia,Kumbuka kufuata sheria.
Disemba ni ngelo yakaiya na kichuku,Sikukuu ni wakati wa kujumuika na familia.
Kwaki kwaka na machu,Kwa nini umekasirika?
Lukundo lwa mao,Upendo wa mama
Shimba ni nyamandu ibirie,Simba ni mnyama mkali.
Lukundo lwa imbiri,Upendo wa kwanza haukughairi.
Kazi ipoiye yadanekwa magome ghipoiye,Kazi nzuri ina malipo mazuri.
Darasimilo kukaiya bila wukongo,Tuna bahati kuwa na afya njema.
Napoilwa kudamba cha shighadi,Nimependa kusafiri nje ya nchi.
Nyerinyeri rangalangala nakio,Nyota zinang'aa usiku.
Kusesighe ndodo rako rifo,Usiache ndoto zako zikufe.
Nacha nyumbenyi,Nimekuja nyumbani
Daya machi,Chota maji
Bahari yeka na nyamandu wipoiye,Bahari ina viumbe wa kuvutia.
Nyonyi yadima kupuruka,Ndege wanaweza kuruka juu.
Tumia ngelo yako na kichuku,Tumia muda na familia yako.
Mwaka mbishi ni wulalo yezoya wuwishi,Mwaka mpya ni fursa ya kuanza upya.
Wurumwengu ghodu ghokunda kuwikwa nicha,Dunia yetu inahitaji kutunzwa.
Ishima ni nicha kwa awo wikundane.,Heshima ni muhimu katika mahusiano.
Kazi ya timu yadima kupoa kuchumba.,Kazi ya timu inaweza kuwa bora zaidi.
Hakuna kilambo chiboie sa kuseka,Hakuna kitu kizuri kama kuseka
Nasilwa nendabonya chaghu chikurie,Nimechoka baada ya kazi ngumu.
Mashomo ni wufunguo gha mecha,Elimu ni ufunguo wa mafanikio.
Tima sena,Jaribu tena
Baharini ni andu kupoiye koghoresha,Bahari ni sehemu nzuri ya kupumzika.
Nguwo rapo ralua,Nguo zangu zimechafuka.
Oghosha mkonu rakona sabuni,Nawa mikono yako kwa sabuni.
Mbeo ikavika kuro ikoti,Baridi inapofika vaa koti
Kushoma kiteto kiwishi kwakurie.,Kujifunza lugha mpya ni changamoto.
Napoilwa kukuwona sena,Nimefurahi kukuona tena.
Chia yejidederia io,Njia ya kujitetea hio
